Customer ID,Priority Level,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
0,3,13.5686,1,1,0,46.2826,49.8385,32.714,
1,2,86.6838,1,8,0,128.628,133.617,41.9445,
2,3,119.971,2,11,0,153.345,157.739,33.3744,
3,3,121.603,3,12,0,191.366,195.571,69.763,
4,2,123.08,4,12,0,187.11,190.371,64.0291,
5,1,125.183,5,12,0,184.163,186.133,58.9802,
6,3,125.584,6,12,0,215.433,217.816,89.8493,
7,1,210.895,2,21,0,258.934,268.611,48.0392,
8,0,234.474,2,23,0,286.503,291.024,52.0291,
9,0,298.636,1,29,0,333.598,338.391,34.9619,
10,2,304.289,2,30,0,344.215,348.698,39.9254,
11,0,320.735,3,32,0,352.389,357.611,31.6536,
12,3,323.323,4,32,0,367.78,372.326,44.4567,
13,0,344.851,4,34,0,381.193,383.417,36.3414,
14,2,358.88,3,35,0,392.259,398.076,33.3784,
15,2,408.593,1,40,0,440.003,449.166,31.4099,
16,2,413.491,2,41,0,452.706,459.723,39.2146,
17,1,434.063,3,43,0,471.076,478.412,37.0131,
18,1,451.091,3,45,0,489.254,498.495,38.1629,
19,1,468.438,3,46,0,502.78,506.508,34.3423,
20,1,476.149,4,47,0,508.538,513.33,32.3888,
21,2,507.626,2,50,0,547.812,550.912,40.1861,
22,2,512.17,3,51,0,559.936,567.542,47.7659,
23,0,521.894,3,52,0,574.525,580.188,52.6315,
24,1,523.478,4,52,0,593.625,608.604,70.1472,
25,1,538.584,5,53,0,656.847,663.05,118.263,
26,0,542.798,6,54,0,583.017,589.628,40.2193,
27,2,548.193,7,54,0,664.461,671.43,116.268,
28,0,569.056,6,56,0,608.975,615.244,39.9196,
